function	gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
Proteas	YFR050C	≥ 7.14999	-0.789981 - -0.323711	≥ 3.17619	-2.93219 - -1.99724	0.116722 - 0.575969	-1.62041 - -0.904866	-0.988662 - -0.669729	-0.0103348 - 0.237892	-0.67939 - -0.333791	0.878362 - 1.45871	< -1.20377	< -1.3658	< -1.13556	-0.77954 - -0.451344	-0.777968 - -0.425273	0.40824 - 0.678926	0.138608 - 0.372761	0.17113 - 0.367606	-0.886108 - -0.620673	0.326032 - 0.528279	0.386712 - 0.549829	-0.383712 - -0.147248	0.0549996 - 0.160593	< -0.872897	-0.206293 - 0.0027569
Proteas	YDL097C	5.36377 - 7.14999	-0.323711 - 0.352621	≥ 3.17619	-1.00746 - -0.433048	-1.2472 - -0.437616	1.41578 - 2.1255	-1.91176 - -0.988662	0.888346 - 1.53479	-1.00963 - -0.67939	< -1.59043	-0.771468 - -0.451247	< -1.3658	≥ 1.54386	-0.77954 - -0.451344	< -1.10289	0.678926 - 1.23123	< -1.00002	0.588167 - 1.0153	-0.0444716 - 0.0936803	≥ 0.935366	0.0432133 - 0.198076	≥ 0.87368	-0.448052 - -0.296289	-0.872897 - -0.527216	0.0027569 - 0.186317
Proteas	YOR259C	5.36377 - 7.14999	1.22464 - 2.27225	0.608969 - 1.1829	-1.99724 - -1.00746	-1.6315 - -1.2472	-0.333751 - -0.0670098	-0.327772 - -0.0921005	0.498102 - 0.888346	0.492027 - 1.00217	-1.59043 - -0.869533	-0.451247 - -0.164623	≥ 1.34529	-0.347348 - -0.128749	-1.22843 - -0.77954	≥ 1.0854	0.40824 - 0.678926	≥ 1.01778	≥ 1.0153	-0.620673 - -0.37434	-0.0953163 - 0.0342379	< -0.947849	-0.613833 - -0.383712	-0.296289 - -0.128279	-0.872897 - -0.527216	-0.869476 - -0.557685
Proteas	YPR108W	≥ 7.14999	-1.98319 - -1.55052	≥ 3.17619	-2.93219 - -1.99724	1.6518 - 2.25045	-1.62041 - -0.904866	0.559976 - 1.14374	< -1.70937	< -1.5339	0.524465 - 0.878362	≥ 1.27537	≥ 1.34529	≥ 1.54386	0.489747 - 0.669964	0.33614 - 0.707889	< -1.16585	-0.405256 - -0.174611	-1.06673 - -0.629906	-0.0444716 - 0.0936803	-1.01567 - -0.537477	-0.587246 - -0.308823	0.283336 - 0.477439	≥ 0.771311	0.294794 - 0.529312	< -0.869476
Proteas	YER021W	5.36377 - 7.14999	-0.323711 - 0.352621	≥ 3.17619	-2.93219 - -1.99724	0.575969 - 0.951233	< -2.3691	-0.988662 - -0.669729	-0.659428 - -0.235078	-0.67939 - -0.333791	≥ 1.45871	0.524226 - 0.812305	≥ 1.34529	-0.802946 - -0.496845	-1.22843 - -0.77954	-1.10289 - -0.777968	≥ 1.23123	-0.0273938 - 0.138608	≥ 1.0153	-0.0444716 - 0.0936803	-0.309045 - -0.0953163	< -0.947849	0.207664 - 0.283336	0.160593 - 0.351944	≥ 0.846813	≥ 0.893637
Proteas	YGR253C	≥ 7.14999	-0.323711 - 0.352621	1.82932 - 3.17619	1.8757 - 2.71596	< -2.60633	-2.3691 - -1.62041	-1.91176 - -0.988662	0.498102 - 0.888346	< -1.5339	0.524465 - 0.878362	0.303004 - 0.524226	0.308063 - 0.528452	-0.802946 - -0.496845	0.669964 - 1.12356	-0.228786 - -0.0530638	0.678926 - 1.23123	0.561059 - 1.01778	-1.06673 - -0.629906	≥ 0.984347	-0.309045 - -0.0953163	-0.587246 - -0.308823	-0.147248 - 0.0525043	-0.296289 - -0.128279	0.294794 - 0.529312	-0.869476 - -0.557685
Proteas	YGL011C	5.36377 - 7.14999	≥ 4.31204	≥ 3.17619	-1.99724 - -1.00746	0.116722 - 0.575969	-0.0670098 - 0.370891	0.559976 - 1.14374	-0.0103348 - 0.237892	-1.5339 - -1.00963	0.878362 - 1.45871	0.0567379 - 0.303004	-1.3658 - -0.794636	< -1.13556	< -1.22843	0.15896 - 0.33614	-0.067954 - 0.166896	-1.00002 - -0.622271	-0.629906 - -0.33811	-0.193563 - -0.0444716	< -1.01567	0.549829 - 0.781302	-0.900182 - -0.613833	-0.949145 - -0.448052	< -0.872897	-0.869476 - -0.557685
Proteas	YMR314W	5.36377 - 7.14999	-1.98319 - -1.55052	1.1829 - 1.82932	0.0172426 - 0.531467	< -2.60633	-0.904866 - -0.333751	-0.327772 - -0.0921005	0.498102 - 0.888346	< -1.5339	< -1.59043	-0.451247 - -0.164623	-0.794636 - -0.476743	-1.13556 - -0.802946	-0.77954 - -0.451344	< -1.10289	≥ 1.23123	< -1.00002	≥ 1.0153	< -0.886108	0.177247 - 0.326032	-0.587246 - -0.308823	-0.383712 - -0.147248	0.351944 - 0.519875	0.0601571 - 0.294794	≥ 0.893637
Proteas	YGR135W	5.36377 - 7.14999	-0.323711 - 0.352621	≥ 3.17619	-1.00746 - -0.433048	< -2.60633	< -2.3691	-0.0921005 - 0.253326	-0.659428 - -0.235078	-0.103436 - 0.141737	-1.59043 - -0.869533	-0.771468 - -0.451247	0.528452 - 0.805687	0.777881 - 1.54386	≥ 1.12356	-0.0530638 - 0.15896	0.166896 - 0.40824	-1.00002 - -0.622271	-0.629906 - -0.33811	0.267107 - 0.527055	< -1.01567	≥ 0.781302	≥ 0.87368	0.160593 - 0.351944	< -0.872897	-0.869476 - -0.557685
Proteas	YER012W	2.96362 - 5.36377	-1.55052 - -0.789981	≥ 3.17619	< -2.93219	-1.6315 - -1.2472	-0.904866 - -0.333751	-1.91176 - -0.988662	-1.70937 - -1.02478	-1.00963 - -0.67939	< -1.59043	-0.771468 - -0.451247	0.0512376 - 0.308063	0.777881 - 1.54386	-0.77954 - -0.451344	-0.228786 - -0.0530638	-0.762285 - -0.444354	< -1.00002	-1.06673 - -0.629906	0.267107 - 0.527055	-1.01567 - -0.537477	-0.0792995 - 0.0432133	-0.147248 - 0.0525043	≥ 0.771311	≥ 0.846813	≥ 0.893637
Proteas	YPR103W	5.36377 - 7.14999	-1.55052 - -0.789981	1.82932 - 3.17619	-1.00746 - -0.433048	< -2.60633	≥ 2.1255	< -1.91176	0.498102 - 0.888346	-0.103436 - 0.141737	-1.59043 - -0.869533	< -1.20377	-0.1735 - 0.0512376	-0.347348 - -0.128749	< -1.22843	-1.10289 - -0.777968	< -1.16585	≥ 1.01778	-0.629906 - -0.33811	-0.37434 - -0.193563	-0.537477 - -0.309045	< -0.947849	< -0.900182	0.351944 - 0.519875	≥ 0.846813	< -0.869476
Proteas	YJL001W	≥ 7.14999	< -3.07807	0.608969 - 1.1829	-0.433048 - 0.0172426	-2.60633 - -1.6315	≥ 2.1255	-0.669729 - -0.327772	-0.235078 - -0.0103348	< -1.5339	-0.573237 - -0.24581	-0.771468 - -0.451247	< -1.3658	-1.13556 - -0.802946	-0.77954 - -0.451344	-0.228786 - -0.0530638	0.166896 - 0.40824	-0.174611 - -0.0273938	< -1.06673	-0.193563 - -0.0444716	0.326032 - 0.528279	-0.947849 - -0.587246	-0.900182 - -0.613833	-0.448052 - -0.296289	-0.0669247 - 0.0601571	≥ 0.893637
Proteas	YOR362C	5.36377 - 7.14999	-0.789981 - -0.323711	1.82932 - 3.17619	≥ 2.71596	< -2.60633	0.917994 - 1.41578	-0.669729 - -0.327772	0.888346 - 1.53479	-1.00963 - -0.67939	< -1.59043	< -1.20377	-0.476743 - -0.1735	-0.496845 - -0.347348	≥ 1.12356	≥ 1.0854	< -1.16585	≥ 1.01778	0.17113 - 0.367606	≥ 0.984347	-0.309045 - -0.0953163	< -0.947849	0.477439 - 0.87368	-0.296289 - -0.128279	-0.183446 - -0.0669247	≥ 0.893637
Proteas	YOR157C	≥ 7.14999	-0.789981 - -0.323711	0.608969 - 1.1829	0.531467 - 1.22558	0.116722 - 0.575969	≥ 2.1255	-0.327772 - -0.0921005	-1.70937 - -1.02478	-0.333791 - -0.103436	-0.573237 - -0.24581	0.0567379 - 0.303004	-0.1735 - 0.0512376	-0.496845 - -0.347348	< -1.22843	-0.0530638 - 0.15896	< -1.16585	≥ 1.01778	≥ 1.0153	0.267107 - 0.527055	-0.309045 - -0.0953163	0.549829 - 0.781302	< -0.900182	< -0.949145	0.529312 - 0.846813	0.186317 - 0.36998
Proteas	YOL038W	≥ 7.14999	< -3.07807	0.608969 - 1.1829	0.0172426 - 0.531467	0.116722 - 0.575969	-0.333751 - -0.0670098	-0.669729 - -0.327772	-0.659428 - -0.235078	< -1.5339	0.524465 - 0.878362	≥ 1.27537	≥ 1.34529	-0.802946 - -0.496845	< -1.22843	-0.777968 - -0.425273	-1.16585 - -0.762285	0.372761 - 0.561059	0.17113 - 0.367606	-0.0444716 - 0.0936803	-1.01567 - -0.537477	-0.308823 - -0.0792995	0.477439 - 0.87368	< -0.949145	0.529312 - 0.846813	< -0.869476
Proteas	YBL041W	5.36377 - 7.14999	-1.55052 - -0.789981	1.82932 - 3.17619	1.22558 - 1.8757	< -2.60633	-0.333751 - -0.0670098	1.14374 - 2.10432	≥ 1.53479	≥ 1.56225	≥ 1.45871	≥ 1.27537	≥ 1.34529	-0.128749 - 0.200137	-1.22843 - -0.77954	< -1.10289	≥ 1.23123	< -1.00002	< -1.06673	≥ 0.984347	0.326032 - 0.528279	< -0.947849	< -0.900182	≥ 0.771311	0.294794 - 0.529312	0.186317 - 0.36998
Proteas	YHR200W	≥ 7.14999	< -3.07807	-0.382426 - 0.125754	≥ 2.71596	< -2.60633	≥ 2.1255	< -1.91176	0.888346 - 1.53479	0.492027 - 1.00217	-0.869533 - -0.573237	≥ 1.27537	-0.1735 - 0.0512376	≥ 1.54386	< -1.22843	≥ 1.0854	-0.444354 - -0.282942	0.372761 - 0.561059	-0.33811 - -0.1104	< -0.886108	-0.0953163 - 0.0342379	< -0.947849	-0.147248 - 0.0525043	< -0.949145	0.529312 - 0.846813	0.573122 - 0.893637
Proteas	YDR394W	≥ 7.14999	-1.98319 - -1.55052	1.1829 - 1.82932	0.531467 - 1.22558	-0.437616 - 0.116722	≥ 2.1255	-0.988662 - -0.669729	≥ 1.53479	-0.103436 - 0.141737	-0.0742138 - 0.215548	≥ 1.27537	-1.3658 - -0.794636	< -1.13556	-0.77954 - -0.451344	< -1.10289	-0.762285 - -0.444354	0.372761 - 0.561059	-1.06673 - -0.629906	-0.620673 - -0.37434	-1.01567 - -0.537477	0.386712 - 0.549829	≥ 0.87368	0.519875 - 0.771311	< -0.872897	-0.206293 - 0.0027569
Proteas	YOR117W	≥ 7.14999	-3.07807 - -1.98319	≥ 3.17619	< -2.93219	≥ 2.25045	0.917994 - 1.41578	≥ 2.10432	-0.0103348 - 0.237892	≥ 1.56225	≥ 1.45871	≥ 1.27537	0.805687 - 1.34529	-1.13556 - -0.802946	-0.77954 - -0.451344	-1.10289 - -0.777968	< -1.16585	≥ 1.01778	-1.06673 - -0.629906	≥ 0.984347	-1.01567 - -0.537477	< -0.947849	-0.147248 - 0.0525043	-0.296289 - -0.128279	< -0.872897	< -0.869476
Proteas	YFR052W	≥ 7.14999	≥ 4.31204	≥ 3.17619	< -2.93219	≥ 2.25045	-0.333751 - -0.0670098	-0.988662 - -0.669729	0.237892 - 0.498102	-1.5339 - -1.00963	≥ 1.45871	< -1.20377	-0.476743 - -0.1735	< -1.13556	≥ 1.12356	-1.10289 - -0.777968	-0.762285 - -0.444354	-0.0273938 - 0.138608	-0.33811 - -0.1104	0.267107 - 0.527055	≥ 0.935366	≥ 0.781302	< -0.900182	-0.128279 - 0.0549996	-0.0669247 - 0.0601571	-0.557685 - -0.371889
Proteas	YDL147W	5.36377 - 7.14999	< -3.07807	≥ 3.17619	-1.00746 - -0.433048	0.116722 - 0.575969	< -2.3691	≥ 2.10432	< -1.70937	-1.00963 - -0.67939	-1.59043 - -0.869533	-0.451247 - -0.164623	0.805687 - 1.34529	0.777881 - 1.54386	≥ 1.12356	-0.777968 - -0.425273	≥ 1.23123	≥ 1.01778	0.0347436 - 0.17113	-0.886108 - -0.620673	0.326032 - 0.528279	-0.587246 - -0.308823	0.207664 - 0.283336	≥ 0.771311	0.294794 - 0.529312	≥ 0.893637
Proteas	YOR261C	2.96362 - 5.36377	< -3.07807	1.82932 - 3.17619	< -2.93219	-1.6315 - -1.2472	< -2.3691	1.14374 - 2.10432	< -1.70937	0.492027 - 1.00217	-0.573237 - -0.24581	0.303004 - 0.524226	≥ 1.34529	-0.347348 - -0.128749	≥ 1.12356	≥ 1.0854	≥ 1.23123	-0.405256 - -0.174611	0.588167 - 1.0153	< -0.886108	-0.537477 - -0.309045	< -0.947849	-0.900182 - -0.613833	-0.949145 - -0.448052	-0.872897 - -0.527216	-0.557685 - -0.371889
Proteas	YBR173C	5.36377 - 7.14999	-1.98319 - -1.55052	1.1829 - 1.82932	-1.99724 - -1.00746	-1.6315 - -1.2472	1.41578 - 2.1255	< -1.91176	≥ 1.53479	≥ 1.56225	≥ 1.45871	< -1.20377	≥ 1.34529	≥ 1.54386	≥ 1.12356	< -1.10289	-0.067954 - 0.166896	≥ 1.01778	0.0347436 - 0.17113	< -0.886108	-0.0953163 - 0.0342379	≥ 0.781302	-0.900182 - -0.613833	≥ 0.771311	0.294794 - 0.529312	< -0.869476
Resp	YGR207C	2.96362 - 5.36377	0.352621 - 1.22464	-1.95551 - -1.12887	0.0172426 - 0.531467	< -2.60633	< -2.3691	-0.0921005 - 0.253326	≥ 1.53479	-0.67939 - -0.333791	-0.24581 - -0.0742138	≥ 1.27537	-1.3658 - -0.794636	0.459517 - 0.777881	-0.451344 - -0.24542	0.15896 - 0.33614	-0.762285 - -0.444354	≥ 1.01778	0.367606 - 0.588167	≥ 0.984347	-1.01567 - -0.537477	≥ 0.781302	0.207664 - 0.283336	-0.949145 - -0.448052	< -0.872897	-0.869476 - -0.557685
Resp	YNL052W	2.96362 - 5.36377	< -3.07807	< -3.45235	≥ 2.71596	1.6518 - 2.25045	-2.3691 - -1.62041	0.559976 - 1.14374	-0.235078 - -0.0103348	1.00217 - 1.56225	< -1.59043	0.812305 - 1.27537	< -1.3658	≥ 1.54386	-0.77954 - -0.451344	-0.425273 - -0.228786	-0.444354 - -0.282942	0.561059 - 1.01778	0.367606 - 0.588167	-0.886108 - -0.620673	0.0342379 - 0.177247	0.386712 - 0.549829	< -0.900182	-0.128279 - 0.0549996	-0.527216 - -0.31183	< -0.869476
Proteas	YDR069C	-1.87322 - 2.96362	-3.07807 - -1.98319	-1.95551 - -1.12887	-1.00746 - -0.433048	≥ 2.25045	< -2.3691	0.559976 - 1.14374	≥ 1.53479	1.00217 - 1.56225	-0.24581 - -0.0742138	< -1.20377	0.805687 - 1.34529	< -1.13556	-1.22843 - -0.77954	≥ 1.0854	< -1.16585	-1.00002 - -0.622271	0.367606 - 0.588167	0.267107 - 0.527055	≥ 0.935366	-0.947849 - -0.587246	≥ 0.87368	-0.296289 - -0.128279	-0.0669247 - 0.0601571	-0.371889 - -0.206293
Resp	YGL187C	2.96362 - 5.36377	≥ 4.31204	-3.45235 - -1.95551	-0.433048 - 0.0172426	≥ 2.25045	-2.3691 - -1.62041	1.14374 - 2.10432	-0.659428 - -0.235078	< -1.5339	≥ 1.45871	-1.20377 - -0.771468	-1.3658 - -0.794636	≥ 1.54386	-1.22843 - -0.77954	< -1.10289	-1.16585 - -0.762285	0.561059 - 1.01778	0.588167 - 1.0153	0.0936803 - 0.267107	-0.0953163 - 0.0342379	-0.308823 - -0.0792995	≥ 0.87368	-0.949145 - -0.448052	< -0.872897	0.186317 - 0.36998
